Date,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
2020-01-02,135480400,80580000,28132000,10803700,11867700,22622100,237536000,16514072,142981500,12456400,3459930000
2020-01-03,146322800,75288000,23728000,10386800,11354500,21116200,205384000,14922848,266677500,17386900,3484700000
2020-01-06,118387200,81236000,34646000,10259000,14698300,20813700,262636000,15771951,151995000,20081900,3702460000
2020-01-07,108872000,80898000,30054000,10531300,9973900,21634100,314856000,20108107,268231500,17387700,3435910000
2020-01-08,132079200,70160000,30560000,9695300,10676000,27746500,277108000,16403507,467164500,15137700,3726840000
2020-01-09,170108400,63346000,30018000,9469000,15398000,21385000,255112000,21971895,426606000,14811800,3641230000
2020-01-10,140644800,57074000,36414000,10190900,13040100,20725900,316296000,21557357,194392500,11995600,3214580000
2020-01-13,121532000,55616000,33046000,12355200,14302900,21626500,319840000,15392405,397764000,9953900,3459390000
2020-01-14,161954400,68818000,31178000,24906000,16345300,23477400,359088000,20919160,434943000,16261000,3687620000
2020-01-15,121923600,57932000,25654000,16293400,17735400,21417900,263104000,23925800,260532000,11390300,3721490000
2020-01-16,108829200,53190000,23474000,10783800,10234100,23865400,284192000,16216422,326050500,13340300,3540580000
2020-01-17,137816400,79946000,47924000,14697700,14264300,34371700,253792000,23083970,204436500,18144100,3726220000
2020-01-21,110843200,74156000,40734000,8474200,11968900,29517200,217916000,23115696,267052500,17982600,4104840000
2020-01-22,101832400,64326000,32216000,7549100,12869600,24138800,239240000,18097812,470535000,17033100,3623780000
2020-01-23,104472000,49692000,27024000,9345700,12858900,19680800,244516000,27148510,294765000,19605900,3766710000
2020-01-24,146537600,75324000,35692000,15166400,8594300,24918100,373512000,34143698,215304000,18238600,3708780000
2020-01-27,161940000,70570000,35104000,12860500,14359900,32078100,470536000,31964026,204121500,21231000,3831050000
2020-01-28,162234000,56160000,31548000,13062800,15240200,24899900,310976000,70202408,176827500,19664700,3531570000
2020-01-29,216229200,41760000,21554000,9326000,13163600,34754500,258848000,34165726,267022500,14202800,3600250000
2020-01-30,126743200,126548000,26788000,9048900,20225600,51597500,290504000,32316589,435085500,18544700,3790350000
2020-01-31,199588400,311346000,48344000,12785200,17685200,36142700,370420000,33894005,235789500,34282900,4529700000
2020-02-03,173788400,117834000,60736000,10021100,12333600,30107000,255564000,20875735,705975000,27389300,3760460000
2020-02-04,136616400,105786000,78660000,9157100,15417900,36433300,271544000,31150865,914082000,31922100,3996900000
2020-02-05,118826800,87524000,39724000,10150700,11414900,39186300,208220000,29443490,726357000,32099200,4121480000
2020-02-06,105425600,63660000,33588000,8992300,9347000,27751400,218284000,21047748,598212000,16055400,3887250000
2020-02-07,117684000,101906000,23446000,6379800,8757800,33529100,189752000,21903596,255952500,15112500,3733920000
2020-02-10,109348800,101124000,28398000,5960700,7984900,35844300,529608000,19998385,370338000,20934500,3462730000
2020-02-11,94323200,114920000,26892000,6578600,7431200,53159900,638556000,16027335,175462500,14908700,3762940000
2020-02-12,113730400,66686000,23352000,7958000,9179100,47062900,374644000,22944315,180337500,17862100,3930910000
2020-02-13,94747600,60636000,18590000,7447500,8173200,35295800,528016000,22099745,394339500,16949400,3500890000
2020-02-14,80113600,52124000,23956000,6627600,9965500,23149500,1041924000,21006747,235405500,10855300,3419700000
2020-02-18,152531200,58912000,22414000,8996400,10075700,27792200,620164000,17988513,245725500,18948500,3750400000
2020-02-19,93984000,51224000,18986000,7071200,6265700,29997500,694332000,17750941,381345000,12804900,3614200000
2020-02-20,100566000,62626000,21932000,7422800,7597200,36862400,810052000,42953135,264523500,14817200,4019180000
2020-02-21,129554000,92926000,34634000,9772800,10842400,48572600,768180000,32425256,214722000,20315700,3908780000
2020-02-24,222195200,130940000,57342000,13618400,14415500,68311100,856916000,37969296,227883000,32096600,4851160000
2020-02-25,230673600,124382000,49566000,20797200,15915100,68073300,1055496000,41878898,259357500,36414500,5596760000
2020-02-26,198054800,104492000,44048000,24825600,15837800,56206100,747732000,47920005,211282500,29801000,5484650000
2020-02-27,320605600,162880000,59566000,23005500,23754000,93174900,906416000,55444827,364158000,48141300,7064710000
2020-02-28,426510000,189620000,75782000,45931400,40890600,97012700,1133252000,66057447,363343500,62446700,8569570000
2020-03-02,341397200,135234000,48630000,27355400,25698600,71030800,890744000,42034469,302925000,38127600,6381330000
