,AAPL,AMZN,GOOG,JPM,KO,MSFT,NVDA,PFE,TSLA,XOM,^GSPC
AAPL,1.0,0.5777825159495175,0.6163165780960501,0.4232760955651132,0.38708997282817903,0.6826993776098149,0.5762528786685204,0.28409666613625933,0.4914761445855701,0.2812387889638128,0.7775479865151834
AMZN,0.5777825159495175,1.0,0.6334033421588965,0.3019499880927179,0.16223306654593345,0.6504627547034608,0.5747884334034493,0.15486639305034805,0.44512046109820785,0.1303643554019154,0.6559133291220275
GOOG,0.6163165780960501,0.6334033421588965,1.0,0.40087958614320296,0.292034502840245,0.6760352203743532,0.5743541850501461,0.22169624586128364,0.4250824470060562,0.2246193843943496,0.7239267115239103
JPM,0.4232760955651132,0.3019499880927179,0.40087958614320296,1.0,0.46234762639377514,0.4150303684734743,0.3451410454828547,0.3190077482429517,0.305038344624731,0.5274070030517598,0.7122788991274037
KO,0.38708997282817903,0.16223306654593345,0.292034502840245,0.46234762639377514,1.0,0.33806882705767094,0.15053410209142454,0.39856667532375684,0.13148658288571374,0.3894260506559211,0.5461968599605859
MSFT,0.6826993776098149,0.6504627547034608,0.6760352203743532,0.4150303684734743,0.33806882705767094,1.0,0.663414356604826,0.26367781236874477,0.4516652953536395,0.21540677760192256,0.7895105670278373
NVDA,0.5762528786685204,0.5747884334034493,0.5743541850501461,0.3451410454828547,0.15053410209142454,0.663414356604826,1.0,0.1302030947629529,0.4835403552640303,0.17274961327803268,0.7065043008334039
PFE,0.28409666613625933,0.15486639305034805,0.22169624586128364,0.3190077482429517,0.39856667532375684,0.26367781236874477,0.1302030947629529,1.0,0.09422211220942164,0.23698991540504197,0.4062582045646321
TSLA,0.4914761445855701,0.44512046109820785,0.4250824470060562,0.305038344624731,0.13148658288571374,0.4516652953536395,0.4835403552640303,0.09422211220942164,1.0,0.14974496006020294,0.5351602744967842
XOM,0.2812387889638128,0.1303643554019154,0.2246193843943496,0.5274070030517598,0.3894260506559211,0.21540677760192256,0.17274961327803268,0.23698991540504197,0.14974496006020294,1.0,0.4840031495150931
^GSPC,0.7775479865151834,0.6559133291220275,0.7239267115239103,0.7122788991274037,0.5461968599605859,0.7895105670278373,0.7065043008334039,0.4062582045646321,0.5351602744967842,0.4840031495150931,1.0
