,Final Value
0,141.48543862150981
1,93.07624027667629
2,153.68323601964323
3,149.30509077389073
4,131.52267038164268
5,125.8341996230777
6,148.11013226096296
7,121.29073577616903
8,139.749970957913
9,173.526783190547
10,126.8488226720268
11,155.09920519128937
12,118.51530472013145
13,143.9001245984229
14,156.51115478226643
15,92.28995977065718
16,122.92380506541232
17,194.86293597356135
18,113.222158324398
19,113.81100974635687
20,177.06312858367502
21,126.1380407819553
22,132.47404890304045
23,219.7785409164254
24,108.96781852311574
25,111.71405031231055
26,127.0583506394557
27,122.40297287537807
28,123.10680302644737
29,57.42578035284526
30,132.6552554958849
31,170.2229205167607
32,148.53294220377603
33,125.72448873314268
34,119.34067399801837
35,107.41916669027205
36,121.94162616688695
37,93.04971588187676
38,125.59354660834414
39,157.0116591477429
40,142.50316496630631
41,122.6376264246957
42,122.07509961202838
43,120.98572423847014
44,104.97956988477213
45,120.76072131078386
46,118.1437396625773
47,135.9972736013238
48,88.88817890739485
49,89.03857075823439
50,142.12030765088136
51,181.45348918746552
52,130.447594144154
53,92.2073990241093
54,112.9456470434681
55,126.5624478689186
56,164.61483955294545
57,102.99748216379103
58,156.4572700890092
59,132.92224289893582
60,156.29049342414035
61,113.34142649212868
62,156.84146423499914
63,136.11047569237326
64,113.56450038679127
65,161.943059014835
66,129.91806436364462
67,121.46730374245578
68,118.94351887688772
69,116.19726780176218
70,114.62271516257991
71,145.40459848117285
72,115.37252178205296
73,136.315497656096
74,163.71779473586574
75,176.3275741824156
76,164.29115114898315
77,186.37065565509454
78,118.37917979921377
79,116.06254102754245
80,119.9456856809266
81,92.55435885622629
82,107.99016017687448
83,136.28198125770865
84,120.48452456105889
85,141.91816900843546
86,154.34945148161086
87,148.11733677582725
88,139.43713779174368
89,122.92460234198576
90,78.45088472718109
91,99.7668910071106
92,98.56657928817039
93,92.79906254897328
94,117.27066382832143
95,165.57097815163914
96,96.03574356290501
97,128.7041099062503
98,94.1775093979351
99,141.7543497286743
100,116.42648164577972
101,109.25177430358981
102,129.29529088747478
103,155.13857717030578
104,106.21906794955093
105,95.48471979112276
106,123.44967609058644
107,142.21090406607235
108,111.86659193635042
109,152.6264459119768
110,124.78658505477387
111,171.93588903081277
112,118.12124838166187
113,126.65533722134312
114,104.47517698004336
115,153.21190799061304
116,184.6274384960333
117,150.32302150127427
118,146.9644139278282
119,77.96791865030485
120,104.10070716076831
121,100.41954107997431
122,152.67823804311132
123,127.78920916297172
124,113.08905026536094
125,123.45520096698435
126,158.51734222700935
127,118.27799699691617
128,162.78259943424553
129,155.58776782138943
130,107.4331250520194
131,160.970786053776
132,112.3205734984644
133,101.34952646812685
134,200.29047455799477
135,143.29626697060172
136,116.4406589914105
137,145.83844109067326
138,178.67588418973745
139,106.34287109674652
140,120.70326325530334
141,140.35066899474407
142,141.24197863123445
143,108.31514803989188
144,101.04262279728209
145,116.79919717134797
146,116.39838985615087
147,142.36897473384002
148,159.2625290677137
149,97.85193224571083
150,146.09475457571645
151,204.616088717669
152,149.98743786972574
153,145.63547687782662
154,115.90081607774343
155,197.74497638778888
156,129.87373590670296
157,147.54723762587324
158,139.79431839888116
159,116.92146122652649
160,145.49696437753752
